"","cu70","Ac62","Ac50","Ac41","Ac7","Ac31","cu12","cu80","cu76","cu19","Ap20","Ap14","Ap24","Ap5","Ap19","Ap22"
"Quant.28.0","0.205266277746148","0.193676401239607","0.22505971474621","0.185294181245057","0.196682249275287","0.196905675291434","0.194165490637398","0.195944875536323","0.17286279757365","0.193556261708911","0.209155238313036","0.198294611921714","0.16196225958029","0.177780014898086","0.217986079758732","0.168544415932554"
"Sigma.28.0","6.65526093827767","5.95374153026868","5.37149512649612","5.43317223794942","5.78697218508285","5.48575016920435","5.54419245459074","4.47353362538033","6.27901400759042","5.32489225164852","5.52951999420159","5.32315130331699","5.97931833956186","5.25035669019855","5.28927071915129","5.41859809079651"
"Connect.28.0","0.221428112009043","0.167421026969427","0.119969713996601","0.162295412246908","0.0338303056490864","0","0.191963756121537","0.121990902894077","0.101891261548639","0.100198994470143","0.100947237036477","0.110178187999332","0.115803941352495","0.00303484732946634","0.194009995315436","0.0495852594697485"
"Tau1.28.0","1223.97989773733","1583.38117883211","1198.71513294005","1504.82989490461","1437.33348451902","1472.40746899977","1166.66755502461","1124.37340919252","1510.39051550339","1369.78416731108","1019.17754013991","1877.06113021854","2283.85501918236","1714.53431470703","983.870639301716","1854.99159983967"
"Tau2.28.0","1457361.96732663","1439296.06785575","1168605.710911","1708588.88011467","1355445.71796454","1730036.19506369","1543571.3402041","1512244.98275047","1578196.39039208","1467255.30751861","1972021.83977105","1409853.24522099","1780203.49351846","2235372.41505797","1527898.22567311","2404207.34771369"
"NPQ.28.0","0.606345093333072","0.352346944002685","0.657254716631176","0.607405739507609","0.535565142002867","0.402303090966211","0.602977328731117","0.465079243910221","0.404224362040305","0.431090548479581","0.343725187639421","0.355550993765987","0.314230076668254","0.310627866286048","0.288043071997038","0.386443041637777"
"qP.28.0","0.815026350134706","0.773106933882821","0.845938770044725","0.612203217843548","0.821799694631235","0.805728262901935","0.851048518272472","0.77452550034109","0.824285008587549","0.816942241344547","0.746257919264366","0.748703164609744","0.671303615675096","0.674759418545163","0.764557291391534","0.704781973687205"
"ABQ.28.0","0.272158464294157","0.225773740758842","0.285082259660207","0.258582778009865","0.243318218459786","0.285701401158553","0.148929785953942","0.218564304493568","0.0768561595008408","0.289152759016455","0.195448704212614","0.125837376601753","0.1791817401964","0.257997524111288","0.273627887002514","0.213459372195663"
"Quant.29.0","0.20971450227918","0.20255970672922","0.228001152012123","0.191411614600528","0.193792130261056","0.196300113107872","0.193094922229128","0.205489352971195","0.171607473588448","0.197619552462395","0.209372831760584","0.193638120231832","0.164073069770955","0.176352346407197","0.221600841906175","0.165401054414822"
"Sigma.29.0","6.14731259589556","5.21675344440319","5.25343389297794","5.02920516470664","5.7196241199155","5.44223553192751","5.34496030282843","4.52090409278535","6.28656594871345","5.16971204543036","4.92138914288684","4.88222137278033","5.65792934087841","5.01612379818825","4.45479673621298","5.62530463311523"
"Connect.29.0","0.228330299827835","0.0920072487167635","0.217528540859212","0.21092602543013","0.0994120854649058","0.0783073211323565","0.240481021783462","0.246340640537294","0.15454969758307","0.0136190466264758","0.198652514292394","0.215934820293653","0.130769467350243","0.133587808665834","0.161922391710736","0.127038826251634"
"Tau1.29.0","1128.35205259198","1367.36969263263","1078.98197235287","1305.40676708752","1327.01176438229","1206.30306428238","1081.54588329414","931.386531123582","1241.51875925707","1056.70332340176","962.343886795253","1724.75726698699","2017.36035461069","1653.44689285665","1040.74214338466","1769.13915966222"
"Tau2.29.0","2356836.73780591","1812522.85179954","2304220.22331518","2333203.69511104","1833850.18206725","2134371.69291419","2581917.83403092","1906329.56136324","1946762.35243915","2088118.84312565","3133925.68945235","2101041.27095889","2282953.54913304","3868738.0716134","2433477.73024589","3385535.61166956"
"NPQ.29.0","0.59723691522911","0.337912953105457","0.64602014348127","0.597779945211281","0.5295992408668","0.387440487009315","0.575375169245503","0.441338214231295","0.384376989485477","0.409955216324844","0.339490632302343","0.357704384837233","0.316795625119582","0.306375874862617","0.279406007949715","0.389800951539633"
"qP.29.0","0.814967758477944","0.773503623229284","0.843707052039475","0.613165588969949","0.815027104669091","0.793337288575991","0.834811715765358","0.770374945348883","0.805528252063274","0.806525960700404","0.743177987800286","0.744137290812172","0.676575265373955","0.669083357113795","0.762079293507555","0.703350941988983"
"ABQ.29.0","0.327709389345385","0.321611883198188","0.300795588687018","0.313708610967478","0.252124387265206","0.291367434695849","0.179513239077906","0.210289643511231","0.0757458692668795","0.309868562497977","0.283932417979205","0.198246452137997","0.223300809233742","0.291100300943703","0.388225657170267","0.183454730618208"
"Quant.30.0","0.125023361655394","0.13554850978884","0.128522220939915","0.113079948748809","0.12088089128117","0.115694958775055","0.108972159604277","0.106705757678758","0.117042205585371","0.124182339204266","0.106450471108195","0.100014898521867","0.0791103609799737","0.0912815618597285","0.113310154051427","0.0752303833277083"
"Sigma.30.0","5.51888938119035","4.71558753523697","4.97635055754441","5.06966553445728","5.44532421901232","5.55829071609535","5.07988422220184","4.17384898451065","6.05701392633616","5.10028786380088","4.48685101867808","4.41062470765536","4.61063844014303","4.74731454310918","4.15459582767999","4.85099189735645"
